WARNCELLID,NAME,TYPED_NAME,STATE
807235001,Aach,Gemeinde Aach,RP
808335001,Aach,Stadt Aach,BW
805334002,Aachen,Stadt Aachen,NR
808136088,Aalen,Stadt Aalen,BW
806439001,Aarbergen,Gemeinde Aarbergen,HE
801061001,Aasbüttel,Gemeinde Aasbüttel,SH
808136002,Abtsgmünd,Gemeinde Abtsgmünd,BW
806431001,Abtsteinach,Gemeinde Abtsteinach,HE
809675111,Abtswind,Gemeinde Abtswind,BY
807133001,Abtweiler,Gemeinde Abtweiler,RP
808436001,Achberg,Gemeinde Achberg,BW
808317001,Achern,Stadt Achern,BW
809576111,Abenberg,Stadt Abenberg,BY
809576451,Abenberger Wald,Gemeindefreies Gebiet Abenberger Wald,BY
809273111,Abensberg,Stadt Abensberg,BY
807134001,Abentheuer,Gemeinde Abentheuer,RP
809577111,Absberg,Gemeinde Absberg,BY
808125001,Abstatt,Gemeinde Abstatt,BW
816065001,Abtsbessingen,Gemeinde Abtsbessingen,TH
803351001,Adelheidsdorf,Gemeinde Adelheidsdorf,NS
808136003,Adelmannsfelden,Gemeinde Adelmannsfelden,BW
809176111,Adelschlag,Gemeinde Adelschlag,BY
814523010,Adorf/Vogtl.,Stadt Adorf/Vogtl.,SN
801061002,Aebtissinwisch,Gemeinde Aebtissinwisch,SH
803252001,Aerzen,Gemeinde Aerzen,NS
808118001,Affalterbach,Gemeinde Affalterbach,BW
809771112,Affing,Gemeinde Affing,BY
803251001,Affinghausen,Gemeinde Affinghausen,NS
807232001,Affler,Gemeinde Affler,RP
803359001,Agathenburg,Gemeinde Agathenburg,NS
809572111,Adelsdorf,Gemeinde Adelsdorf,BY
808225001,Adelsheim,Stadt Adelsheim,BW
809179111,Adelshofen,Gemeinde Adelshofen,BY
809571111,Adelshofen,Gemeinde Adelshofen,BY
809772111,Adelsried,Gemeinde Adelsried,BY
809771111,Adelzhausen,Gemeinde Adelzhausen,BY
807131001,Adenau,Stadt Adenau,RP
807336001,Adenbach,Gemeinde Adenbach,RP
803151001,Adenbüttel,Gemeinde Adenbüttel,NS
803355001,Adendorf,Gemeinde Adendorf,NS
803254001,Adenstedt,Gemeinde Adenstedt,NS
809274111,Adlkofen,Gemeinde Adlkofen,BY
813072001,Admannshagen-Bargeshagen,Gemeinde Admannshagen-Bargeshagen,MV
803361001,Achim,Stadt Achim,NS
809276111,Achslach,Gemeinde Achslach,BY
808426001,Achstetten,Gemeinde Achstetten,BW
807137001,Acht,Gemeinde Acht,RP
807134002,Achtelsbach,Gemeinde Achtelsbach,RP
801058001,Achterwehr,Gemeinde Achterwehr,SH
801054001,Achtrup,Gemeinde Achtrup,SH
808117001,Adelberg,Gemeinde Adelberg,BW
803152001,Adelebsen,Gemeinde Adelebsen,NS
809472111,Ahorntal,Gemeinde Ahorntal,BY
807131002,Ahrbrück,Gemeinde Ahrbrück,RP
801055001,Ahrensbök,Gemeinde Ahrensbök,SH
801062001,Ahrensburg,Stadt Ahrensburg,SH
812060005,Ahrensfelde,Gemeinde Ahrensfelde,BB
801061003,Agethorst,Gemeinde Agethorst,SH
808225002,Aglasterhausen,Gemeinde Aglasterhausen,BW
809274112,Aham,Gemeinde Aham,BY
805554004,Ahaus,Stadt Ahaus,NR
803357001,Ahausen,Gemeinde Ahausen,NS
813075001,Ahlbeck,Gemeinde Ahlbeck,MV
803358001,Ahlden (Aller),Gemeinde Ahlden (Aller),NS
801058175,Ahlefeld-Bistensee,Gemeinde Ahlefeld-Bistensee,SH
805570004,Ahlen,Stadt Ahlen,NR
803359002,Ahlerstedt,Gemeinde Ahlerstedt,NS
815087010,Ahlsdorf,Gemeinde Ahlsdorf,SA
816069001,Ahlstädt,Gemeinde Ahlstädt,TH
806633001,Ahnatal,Gemeinde Ahnatal,HE
801059102,Ahneby,Gemeinde Ahneby,SH
803351002,Ahnsbeck,Gemeinde Ahnsbeck,NS
803257001,Ahnsen,Gemeinde Ahnsen,NS
809278112,Aholfing,Gemeinde Aholfing,BY
809271111,Aholming,Gemeinde Aholming,BY
808128138,Ahorn,Gemeinde Ahorn,BW
809473112,Ahorn,Gemeinde Ahorn,BY
809774166,Aichen,Gemeinde Aichen,BY
808325001,Aichhalden,Gemeinde Aichhalden,BW
808436003,Aichstetten,Gemeinde Aichstetten,BW
808436004,Aitrach,Gemeinde Aitrach,BW
809777111,Aitrang,Gemeinde Aitrang,BY
815082005,Aken (Elbe),Stadt Aken (Elbe),SA
815090003,Aland,Gemeinde Aland,SA
809187186,Albaching,Gemeinde Albaching,BY
808337002,Albbruck,Gemeinde Albbruck,BW
808116081,Aichtal,Stadt Aichtal,BW
808116076,Aichwald,Gemeinde Aichwald,BW
809275112,Aidenbach,Gemeinde Aidenbach,BY
809674111,Aidhausen,Gemeinde Aidhausen,BY
808115001,Aidlingen,Gemeinde Aidlingen,BW
809273113,Aiglsbach,Gemeinde Aiglsbach,BY
807143200,Ailertchen,Gemeinde Ailertchen,RP
809771114,Aindling,Gemeinde Aindling,BY
809172111,Ainring,Gemeinde Ainring,BY
809773111,Aislingen,Gemeinde Aislingen,BY
809278113,Aiterhofen,Gemeinde Aiterhofen,BY
808336004,Aitern,Gemeinde Aitern,BW
813073001,Ahrenshagen-Daskow,Gemeinde Ahrenshagen-Daskow,MV
801054002,Ahrenshöft,Gemeinde Ahrenshöft,SH
813073002,Ahrenshoop,Gemeinde Ahrenshoop,MV
801054003,Ahrenviöl,Gemeinde Ahrenviöl,SH
801054004,Ahrenviölfeld,Gemeinde Ahrenviölfeld,SH
809275111,Aicha vorm Wald,Gemeinde Aicha vorm Wald,BY
809771113,Aichach,Stadt Aichach,BY
808117002,Aichelberg,Gemeinde Aichelberg,BW
803254002,Alfeld (Leine),Stadt Alfeld (Leine),NS
803459001,Alfhausen,Gemeinde Alfhausen,NS
807135002,Alflen,Gemeinde Alflen,RP
803357002,Alfstedt,Gemeinde Alfstedt,NS
805382004,Alfter,Gemeinde Alfter,NR
803254003,Algermissen,Gemeinde Algermissen,NS
806632001,Alheim,Gemeinde Alheim,HE
801051001,Albersdorf,Gemeinde Albersdorf,SH
816074001,Albersdorf,Gemeinde Albersdorf,TH
