# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
101001000;Stadt Flensburg;Flensburg;FLX
101002000;Stadt Kiel;Kiel;KIX
101003000;Hansestadt Lübeck;Hansest. Lübeck;HLX
101004000;Stadt Neumünster;Neumünster;NMS
101051000;Kreis Dithmarschen;Dithmarschen;
101053000;Kreis Herzogtum Lauenburg;Herz. Lauenburg;RZX
101054000;Kreis Nordfriesland;Nordfriesland;
101055000;Kreis Ostholstein;Ostholstein;
101056000;Kreis Pinneberg;Pinneberg;
101057000;Kreis Plön;Plön;
101058000;Kreis Rendsburg-Eckernförde;Rendsburg;
101059000;Kreis Schleswig-Flensburg;Schleswig;
101060000;Kreis Segeberg;Segeberg;SEX
101061000;Kreis Steinburg;Steinburg;IZX
101062000;Kreis Stormarn;Stormarn;ODX
102000000;Hansestadt Hamburg;Hansest.Hamburg;HHX
103101000;Stadt Braunschweig;Braunschweig;BSX
103102000;Stadt Salzgitter;Salzgitter;SZX
103103000;Stadt Wolfsburg;Wolfsburg;WOB
103151000;Kreis Gifhorn;Gifhorn;GIF
103152000;Kreis und Stadt Göttingen;Göttingen;GOE
103153000;Kreis Goslar;Goslar;GSX
103154000;Kreis Helmstedt;Helmstedt;HEX
103155000;Kreis Northeim;Northeim;NOM
103156000;Kreis Osterode am Harz;Osterode/Harz;OHA
103157000;Kreis Peine;Peine;PEX
103158000;Kreis Wolfenbüttel;Wolfenbüttel;WFX
103241000;Region Hannover;Hannover;HAN
103251000;Kreis Diepholz;Diepholz;DHX
103252000;Kreis Hameln-Pyrmont;Hameln-Pyrmont;HMX
103254000;Kreis Hildesheim;Hildesheim;HIX
103255000;Kreis Holzminden;Holzminden;HOL
103256000;Kreis Nienburg;Nienburg;NIX
103257000;Kreis Schaumburg;Schaumburg;SHG
103351000;Kreis Celle;Celle;CEL
103352000;Kreis Cuxhaven;Cuxhaven;
103353000;Kreis Harburg;Harburg;WLX
103354000;Kreis Lüchow-Dannenberg;Lüchow-Dannenb.;DAN
103355000;Kreis Lüneburg;Lüneburg;LGX
103356000;Kreis Osterholz;Osterholz;OHZ
103357000;Kreis Rotenburg (Wümme);Rotenburg/Wümme;ROW
103358000;Heidekreis;Heidekreis;SFA
103359000;Kreis Stade;Stade;STD
103360000;Kreis Uelzen;Uelzen;UEL
103361000;Kreis Verden;Verden;VER
103401000;Stadt Delmenhorst;Delmenhorst;DEL
103402000;Stadt Emden;Emden;EMD
103403000;Stadt Oldenburg;Oldenburg;
103404000;Stadt Osnabrück;Osnabrück;
103405000;Stadt Wilhelmshaven;Wilhelmshaven;WHV
103451000;Kreis Ammerland;Ammerland;WST
103452000;Kreis Aurich;Aurich;
103453000;Kreis Cloppenburg;Cloppenburg;CLP
